Gene	Top10_Clones_Tumor	Top10_Clones_Normal
NKG7	TRUE	TRUE
GZMA	TRUE	TRUE
CCL5	TRUE	TRUE
GZMB	TRUE	TRUE
CD8A	TRUE	FALSE
CCL4	TRUE	TRUE
LTB	TRUE	TRUE
PRF1	TRUE	TRUE
CD8B	TRUE	FALSE
IL7R	TRUE	TRUE
GZMH	TRUE	TRUE
EEF1A1	TRUE	TRUE
GNLY	TRUE	FALSE
SELL	TRUE	FALSE
CTSW	TRUE	TRUE
CST7	TRUE	TRUE
PON2	TRUE	FALSE
KLRD1	TRUE	FALSE
IFNG	TRUE	FALSE
LAG3	TRUE	FALSE
LEF1	TRUE	TRUE
CTSD	TRUE	FALSE
GSTP1	TRUE	TRUE
JUNB	TRUE	TRUE
KLRC2	TRUE	FALSE
FABP5	TRUE	FALSE
CCL3	TRUE	TRUE
KLRC1	TRUE	TRUE
CCR7	TRUE	TRUE
MAL	TRUE	TRUE
APOBEC3G	TRUE	TRUE
LOC101929531	TRUE	FALSE
CXCR6	TRUE	FALSE
RPS8	TRUE	TRUE
ALOX5AP	TRUE	TRUE
STMN1	TRUE	FALSE
KIR2DL4	TRUE	FALSE
ABI3	TRUE	FALSE
RPLP0	TRUE	TRUE
CD63	TRUE	FALSE
CLEC2B	TRUE	TRUE
NFKBIA	TRUE	TRUE
BIRC3	TRUE	TRUE
TOB1	TRUE	TRUE
CD7	TRUE	FALSE
HAVCR2	TRUE	FALSE
LOC101927369	TRUE	FALSE
LOC101060038	TRUE	FALSE
CMC1	TRUE	TRUE
THEM4	TRUE	FALSE
TNFSF13B	TRUE	TRUE
RAB27A	TRUE	FALSE
AQP3	TRUE	TRUE
FOS	TRUE	TRUE
LYST	TRUE	FALSE
LOC100996809	TRUE	FALSE
CCR6	TRUE	TRUE
SAMHD1	TRUE	FALSE
RPS18	TRUE	FALSE
S1PR1	TRUE	TRUE
SESN3	TRUE	TRUE
KLRC3	TRUE	FALSE
FBLN7	TRUE	FALSE
ITGAE	TRUE	FALSE
TNFRSF4	TRUE	TRUE
PABPC1	TRUE	TRUE
GZMK	TRUE	TRUE
RPS12	TRUE	FALSE
FAAH2	TRUE	FALSE
RUNX3	TRUE	TRUE
TIGIT	TRUE	FALSE
GFOD1	TRUE	FALSE
DUSP4	TRUE	TRUE
FKBP1A	TRUE	FALSE
C10orf54	TRUE	FALSE
TCF7	TRUE	FALSE
TPI1	TRUE	FALSE
LOC102724246	TRUE	FALSE
S100A10	TRUE	FALSE
TIMP1	TRUE	TRUE
SOCS3	TRUE	TRUE
BST2	TRUE	FALSE
RGS1	TRUE	FALSE
AMICA1	TRUE	TRUE
SIRPG	TRUE	FALSE
GADD45B	TRUE	FALSE
FLT3LG	TRUE	TRUE
LY96	TRUE	FALSE
ASB2	TRUE	FALSE
FAM3C	TRUE	FALSE
FOXP3	TRUE	FALSE
NOSIP	TRUE	TRUE
ANXA5	TRUE	FALSE
TOX	TRUE	FALSE
HLA-DRB4	TRUE	FALSE
XAF1	TRUE	FALSE
TMSB10	TRUE	FALSE
