Follicular helper T cells	Type 1 helper T cells	Trm cytotoxic T cells	Tem/Trm cytotoxic T cells.1	Type 1 helper T cells.1	Regulatory T cells.1	Regulatory T cells	Tcm/Naive helper T cells	Tem/Trm cytotoxic T cells	Plasmablasts	Cycling T cells	gamma-delta T cells
Glycolysis / Gluconeogenesis	0	0	0	0	0	6e-04	0.1938	0	0.01	0	0	0
Citrate cycle (TCA cycle)	0	0	0	0	0	0	0.2862	0	0.0048	0	0	0
Pentose phosphate pathway	0	0	0	0	0	0	2e-04	0	0.3322	0	0	2e-04
Pentose and glucuronate interconversions	0	0	0	0	0	0	0.4686	0	0.0022	0	0	0
Fructose and mannose metabolism	0	0	0	0	0	4e-04	0	0	0.0586	0	0	0
Galactose metabolism	0	0	0	0	0	0.0022	0	0	0.2776	0	0	0
Ascorbate and aldarate metabolism	0	0	0	0	0	0	0	0	0.31	0	0	0
Starch and sucrose metabolism	0	0	0.2124	0	0	0.183	0	0	0.0066	2e-04	0	0
Amino sugar and nucleotide sugar metabolism	0	0	2e-04	0	0	0	0.2052	0	0.1264	0	0	0
Pyruvate metabolism	0	0	0	0	0	0	0	0	0.364	0	0	0
Glyoxylate and dicarboxylate metabolism	0	0	0	0	0	0	0.012	0	0.4178	0	0	0.4426
Propanoate metabolism	0	0	0	0	0	8e-04	0	0	0.0036	0	0	0
Butanoate metabolism	0	0	0	0	0	0	0	0	0.0036	0	0	0.0026
Inositol phosphate metabolism	0	0	0	0	0	0.4256	0	0	0.0144	0	0.0388	0
Oxidative phosphorylation	0	0	0	0	0	0.053	0	0	0	0	0	0
Nitrogen metabolism	0	0	0.3584	0	0	0.068	0.031	0	0.3014	0.0796	0.2488	0
Sulfur metabolism	0	0	0	0	0	0.001	0	0	0	0	0	0.0392
Fatty acid biosynthesis	0	0	0.2418	0	0	0	0.3268	0	0.2952	0	0	0
Fatty acid elongation	0	0	0	0	0	0	2e-04	0	0.035	0	0	0.1426
Fatty acid degradation	0	0	0	0	0	0.0014	0	0	0	0	0	0
