Follicular helper T cells	Type 1 helper T cells	Trm cytotoxic T cells	Tem/Trm cytotoxic T cells.1	Type 1 helper T cells.1	Regulatory T cells.1	Regulatory T cells	Tcm/Naive helper T cells	Tem/Trm cytotoxic T cells	Plasmablasts	Cycling T cells	gamma-delta T cells
Glycolysis / Gluconeogenesis	0.662812165840892	0.739928452491426	0.857912474030557	0.812015830894873	0.806061738550009	0.929554437097933	NA	0.601523802308996	NA	1.58177618523161	1.8056236045373	1.12499399209702
Citrate cycle (TCA cycle)	0.661304366280993	0.737317631489682	0.913595949367	0.770447304994817	0.761159905001208	0.915691600862333	NA	0.645237714099756	NA	1.67531733363371	1.74249127414701	1.10236122475298
Pentose phosphate pathway	0.677212582671075	0.725914871878119	0.824544875624789	0.725543566196119	0.836692468145249	0.899832512268815	NA	0.660723894088908	NA	1.60954517897097	1.84196230246035	1.2170375817229
Pentose and glucuronate interconversions	0.776837386748561	0.718500457649391	0.806600707901056	0.723847646048168	0.733326983751216	0.834981890873956	NA	0.741892376250653	0.927590663736959	1.94709330481242	1.73489746050117	1.06136515793171
Fructose and mannose metabolism	0.695064719771443	0.747294266408497	0.915418157354367	0.752347031815158	0.82795782010325	0.932989675701743	1.07563622495335	0.681613028722054	NA	1.46949198480137	1.74606767442912	1.12448439345881
Galactose metabolism	0.71982004081807	0.796785095430481	0.888955681281937	0.84953660878837	0.913032933725241	0.938211489774072	1.08733300878944	0.647399247689712	NA	1.54381141828095	1.451836277809	1.15118118562666
Ascorbate and aldarate metabolism	0.664466563174733	0.679045574121954	0.87624816280235	0.769546347377322	0.678476537845234	0.783728519644407	1.09042111558609	0.620077431059373	NA	1.38621622126331	1.76582104099602	1.69667853715067
Starch and sucrose metabolism	0.78621098420579	0.78509204798925	NA	0.853603716034309	0.84487762376994	NA	1.17687554538028	0.66264418158426	NA	1.21050913296748	1.37267490238104	1.27259037837209
Amino sugar and nucleotide sugar metabolism	0.771160168565161	0.821651244725919	0.950621689275386	0.827932664184304	0.895352125794603	0.889218240377789	NA	0.682286884557297	NA	1.37952410266582	1.57127120882628	1.1887690119383
Pyruvate metabolism	0.710825197936663	0.786937100832725	0.869931921605189	0.74897478149022	0.813568550638989	0.916255338458305	0.940240919008942	0.688725730195271	NA	1.72099471742718	1.72645582751868	1.09452268816555
Glyoxylate and dicarboxylate metabolism	0.639817878034025	0.701956921990658	0.824512332485024	0.755621990791089	0.746628528157602	0.875486836175205	0.965520223468901	0.643313331145914	NA	1.95179791017991	1.88386290022142	NA
Propanoate metabolism	0.761871497579923	0.777802860688235	0.91443765810023	0.791989779457214	0.803444079010119	0.931808146872555	1.15619372135662	0.736531882807016	NA	1.35398781239176	1.5828986531336	1.1178237907147
Butanoate metabolism	0.778567854618761	0.736059514216873	0.802448717028724	0.684269404163653	0.764597829083167	0.787086113468303	1.09025533856494	0.877314743242664	0.903538445552752	1.67809877766662	1.8252790358312	1.07248422656234
Inositol phosphate metabolism	0.852064638236785	0.824403591867335	0.93076022804761	0.909957375426216	0.853720139611246	NA	1.18767114058875	0.773790421482045	NA	1.29533795633973	NA	1.26621370015476
Oxidative phosphorylation	0.709035577406959	0.747537718836748	0.84824992807202	0.805913818229003	0.766331007951645	NA	1.12513613210913	0.71971234285073	1.12847380735977	1.57187104470258	1.63110284220652	0.918852955298259
Nitrogen metabolism	0.882796309883804	0.922317897930387	NA	1.26168510214121	0.90469863181965	NA	0.952863621001809	0.79715298746028	NA	NA	NA	1.09460551784682
Sulfur metabolism	0.670970106240886	0.788215205736563	0.804716942113822	0.819135460468226	0.86634258211036	1.06731660672344	1.10254613484661	0.674435071609833	1.18540613499474	1.38203184858782	1.56765590761576	1.07122799895194
Fatty acid biosynthesis	0.787211491803494	0.893239946461588	NA	0.808569320574903	0.889768548784967	0.809347319576338	NA	0.822789466144798	NA	1.27172193462309	1.63971994541574	1.11605524267418
Fatty acid elongation	0.7460690550594	0.77049038458651	0.865240077216073	0.869500984855846	0.822310176707901	0.936990627613483	1.02924625275347	0.745929225979707	NA	1.58724682671785	1.57639191350326	NA
Fatty acid degradation	0.67886804485705	0.773782808218439	0.883138482438707	0.863492232747341	0.777628023974031	0.923384963037331	1.07294580623183	0.63768480364358	1.12381634169853	1.52853622102459	1.54429894992869	1.19242332219987
