gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
HLA-B	8.45524479983016e-31	0.761330689588566	1	1	2.83572000096704e-26
CTSW	1.5385768698535e-22	-1.7545222591227	0.456	0.889	5.16007910611468e-18
SRGN	3.57093972152307e-20	0.818644889481825	1	0.981	1.19762176380441e-15
FOS	1.02566102082197e-19	-1.42443651646434	0.796	0.974	3.43986193163273e-15
FKBP5	5.24969202628374e-18	2.52365488235694	0.485	0.151	1.76064171177504e-13
S100A4	1.01558554480291e-17	-0.995965081913989	0.913	0.986	3.40607080015999e-13
VIM	5.32304841153402e-17	-0.810666334135821	0.932	0.998	1.78524397626028e-12
HLA-DRB1	2.97557179974715e-16	1.9954937483832	0.612	0.257	9.97947270199198e-12
CTLA4	9.03061595035178e-16	3.9531621250317	0.165	0.01	3.02868797742898e-11
HLA-DRA	9.58909822050427e-16	3.27502637676093	0.272	0.045	3.21599176119272e-11
ISG20	5.81934059677888e-15	1.23752194801434	0.864	0.589	1.9516904493477e-10
MT-ND5	1.8246569886027e-13	-0.569998182646848	1	0.995	6.11953460837574e-09
GZMB	2.78672722415618e-13	2.50143880281107	0.621	0.308	9.34612576437498e-09
CAPG	3.29619669703223e-13	-1.54865520592786	0.34	0.728	1.10547844825067e-08
TXNIP	6.50940448154618e-13	-1.05415434569394	0.689	0.892	2.18312407502096e-08
CD7	8.4943314294291e-13	0.595640564014821	1	0.988	2.84882887480193e-08
HAPLN3	1.43939958335987e-12	3.10937447796884	0.175	0.021	4.82745832267232e-08
CCL4L2	1.66996522548088e-12	-2.12435749980319	0.243	0.656	5.60072937321778e-08
HLA-A	2.03143374223782e-12	0.535695863489198	1	0.997	6.81302248471719e-08
RPS14	2.29821832472297e-12	-0.397650497730518	1	1	7.70776461745589e-08
LGALS1	5.60962429525008e-12	-1.98417002312685	0.291	0.632	1.88135579614097e-07
AL157402.2	7.65561061434174e-12	2.78468277398431	0.262	0.06	2.56753868783793e-07
IGKV3D-20	1.30618589591487e-11	7.47103920216054	0.078	0	4.3806862577193e-07
EEF1A1	1.53281052686209e-11	-0.283618668594745	1	1	5.14073994499009e-07
TOX2	8.96599974966062e-11	3.35781967949154	0.117	0.009	3.00701699604118e-06
MIR181A1HG	9.26318607275808e-11	2.94978940926681	0.136	0.014	3.1066873450816e-06
SUN2	1.37997349107149e-10	-0.940476492046773	0.573	0.849	4.62815509435558e-06
B2M	1.9615469438569e-10	0.253364973723571	1	1	6.57863614030726e-06
STAT1	2.59518215951955e-10	1.47338074896785	0.553	0.296	8.70372192659668e-06
GNLY	3.02558775892749e-10	2.14815030319365	0.252	0.06	1.0147216225891e-05
CD74	3.25176364140789e-10	1.29090819011854	0.942	0.865	1.09057649005538e-05
DUSP2	8.33996321125971e-10	0.980147895733341	0.903	0.661	2.79705686179228e-05
SPINK2	9.02163225382176e-10	-2.37297236228329	0.068	0.396	3.02567502528674e-05
AC020916.1	1.02361493319212e-09	-1.27855970594052	0.34	0.663	3.43299976293972e-05
DUSP1	1.05648140569663e-09	-0.735586739555583	0.874	0.961	3.54322733842536e-05
BTG1	1.28735363710762e-09	0.883409788652195	1	0.988	4.31752662813153e-05
CREM	1.333836405751e-09	1.41527121212558	0.699	0.498	4.4734205376077e-05
RGS1	1.54795237864906e-09	1.1721735819714	0.854	0.661	5.19152268751322e-05
TUBB	1.56489832489851e-09	-1.00494072085961	0.602	0.791	5.24835600204464e-05
PSMB9	2.12432531709034e-09	0.684738439543391	0.922	0.846	7.12456224845757e-05
MT-CO3	2.19324543881019e-09	0.286085222877443	1	0.998	7.35570655268161e-05
RPS26	2.64340025412161e-09	0.571344983257883	1	0.95	8.86543577227304e-05
ITM2C	2.98697137679075e-09	-0.981951451237017	0.515	0.781	0.000100177046034808
MYL12A	3.44678180182832e-09	-0.472113570914377	0.971	0.997	0.000115598168069718
RARRES3	3.44889254553645e-09	0.970904066857907	0.913	0.921	0.000115668958192202
LRRN3	3.7106699179922e-09	-2.41913365065068	0.068	0.368	0.000124448447709623
TRAV19	3.75184227896168e-09	1.6228418214301	0.311	0.099	0.000125829286351817
P2RX5	3.93106590700533e-09	3.02111107934785	0.126	0.015	0.000131840088389145
FOSB	4.66372883012809e-09	-1.03270316334459	0.621	0.851	0.000156412137504836
CERS6	4.8497897486616e-09	5.68847903796518	0.058	0	0.000162652248590613
IGHV3-21	4.8497897486616e-09	6.50771346586872	0.058	0	0.000162652248590613
HLA-DQA1	5.03251052949681e-09	3.86397368543949	0.107	0.01	0.000168780338138264
